"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	12
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	16
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	13
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			50
"Total"	"Tompkins County, NY"	"36109"	"White"	"2106-3"					55
"Total"	"Tompkins County, NY"	"36109"							70
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			Suppressed
"Total"	"Ulster County, NY"	"36111"	"Asian"	"A"					Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			20
"Total"	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"					28
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			29
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	23
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	27
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	31
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	23
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			114
"Total"	"Ulster County, NY"	"36111"	"White"	"2106-3"					143
"Total"	"Ulster County, NY"	"36111"							172
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	19
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	45
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	49
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	13
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			130
"Total"	"Westchester County, NY"	"36119"	"Asian"	"A"					136
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	15
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	20
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	17
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			69
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	51
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	65
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	63
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	57
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	15
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			264
"Total"	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"					333
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	23
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	76
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	88
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	82
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	57
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	18
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			347
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	13
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	53
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	160
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	99
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	30
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			362
"Total"	"Westchester County, NY"	"36119"	"White"	"2106-3"					709
"Total"	"Westchester County, NY"	"36119"							1178
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	10
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	12
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			30
"Total"	"Unidentified Counties, NY"	"36999"	"Asian"	"A"					32
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			14
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	17
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	17
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	10
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	13
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			66
